WeightedSum (mnorm=sum, wnorm=sum) - Solution:
 ALT./CRIT.    Flight time(s) (min) W.1    Avergae speed(m\s) (max) W.1    Spin X(rps) (max) W.1    Release speed(Rs) (min) W.1    Speed after Pitch(Rp) (min) W.1    Rank
------------  --------------------------  ------------------------------  -----------------------  -----------------------------  ---------------------------------  ------
     1                 4.91209                       1.47531                     0.801191                    0.590267                          1.80522                 47
     2                 4.94139                       1.47242                     0.156379                    0.147248                         0.757985                 23
     3                 4.46886                       0.922951                    0.433282                     0.21761                         0.0919499                3
     4                  4.1978                       1.24084                     0.147782                     1.09555                          1.09555                 48
     5                 1.65201                       1.31707                     0.830387                    0.467704                          1.4677                  43
     6                 8.75824                       0.51192                     0.0972819                   0.412122                          0.24057                 37
     7                 4.31502                       1.53685                    -0.0436596                   0.156436                         0.0861339                1
     8                 9.11722                       0.413017                    -0.201633                   0.143451                         0.507025                 18
     9                 1.65201                       1.31707                     0.830387                    0.467704                         0.467704                 38
     10                 5.0293                       0.374363                    -0.330194                   0.270416                         0.250049                 19
     11                4.46886                       0.922951                    0.433282                     0.21761                         0.0919499                4
     12                7.30037                       1.01355                     -1.49862                     1.1765                          0.482951                 46
     13                2.01099                       0.831656                    0.093244                    0.110389                         0.291427                 6
     14                1.27106                       1.27381                     0.269414                     1.18563                          8.65247                 44
     15                3.95238                       1.07679                    -0.0546111                   0.155214                         0.155214                 5
     16                0.567766                      0.748387                    0.346757                     1.02922                         0.925295                 16
     17                1.05861                       0.782007                    0.433282                    0.419207                         0.205431                 12
     18                0.490842                      0.820896                    -0.116047                   0.382559                         0.150835                 2
     19                 1.1453                        1.1209                     -0.116047                   0.382559                         0.150835                 7
     20                  1.34                        0.559701                    -0.116047                   0.420401                         0.159829                 9
     21                  1.14                        0.657895                    0.180861                    0.962122                         0.323982                 30
     22                  1.46                        0.513699                    0.168227                    0.692623                         0.256695                 20
     23                  1.46                        0.513699                    0.168227                    0.692623                         0.256695                 21
     24                  1.77                        0.423729                   -0.0499968                   0.999106                         0.267586                 36
     25                  1.09                        0.688073                    -0.173856                    1.04182                         0.293485                 22
     26                1.06838                        0.702                      0.0913823                   0.882284                         0.650542                 40
     27                0.957265                      0.783482                    0.124864                    0.944481                         0.386814                 28
     28                0.923077                       0.8125                     -0.890152                   0.597886                         0.473512                 24
     29                1.06838                        0.702                      0.0913823                   0.870537                         0.643835                 39
     30                1.08547                       0.690945                    0.173667                    0.619609                         0.491705                 35
     31                1.11966                       0.669847                   -0.0304163                   0.314157                         0.450585                 17
     32                0.700855                      1.07012                     0.0111464                   0.350661                         0.341238                 11
     33                2.17094                       0.345472                    0.196438                    0.276268                         0.374256                 27
     34                0.641026                        1.17                     -0.0545614                   0.382617                         0.473977                 13
     35                1.13187                       1.07631                    0.00347423                   0.318434                         0.787391                 31
     36                4.58152                       1.01761                     0.0349001                   0.521067                         0.896865                 45
     37                1.31981                       0.568263                   -0.0319024                   0.361436                         0.427687                 25
     38                1.32919                       0.564253                   -0.0301929                    0.36068                         0.429073                 26
     39                1.35816                       0.552218                   -0.0301323                   0.358322                         0.433365                 29
     40                1.62163                       0.462499                   -0.0392303                    0.33749                         0.474966                 34
     41                1.59511                       0.470186                   -0.0913039                   0.339408                         0.470446                 33
     42                1.20205                       0.623933                    0.224235                    0.221192                          0.39657                 14
     43                1.27328                       0.589031                    0.254563                    0.221147                         0.405653                 15
     44                0.751121                      0.998507                    0.419356                    0.254975                         0.319994                 8
     45                1.43905                       0.521176                     0.24151                    0.697302                         0.756847                 42
     46                0.793561                      0.945107                     0.24151                    0.253567                         0.364234                 10
     47                1.05722                       0.709409                     0.01325                    0.940096                          0.93676                 41
     48                1.35405                       0.553893                    -0.226305                   0.352235                         0.496585                 32
