Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.00,-0.01,0.01,-0.05,-0.19,9.66,0,0,0
1,-0.00,-0.01,0.00,-0.01,-0.15,9.67,0,0,0
2,-0.00,-0.00,0.00,-0.03,-0.12,9.62,0,0,0
3,-0.00,-0.00,0.00,-0.04,-0.16,9.66,0,0,0
4,-0.00,-0.00,0.00,-0.07,-0.12,9.60,0,0,0
5,-0.00,-0.01,0.01,0.00,-0.12,9.68,0,0,0
6,-0.00,-0.00,0.01,-0.03,-0.14,9.61,0,0,0
7,-0.00,-0.00,0.01,-0.00,-0.15,9.66,0,0,0
8,-0.01,-0.00,0.02,-0.04,-0.13,9.66,0,0,0
9,-0.00,-0.01,0.02,-0.05,-0.19,9.56,0,0,0
10,-0.00,-0.01,0.02,-0.10,-0.19,9.62,0,0,0
11,-0.01,-0.01,0.01,-0.09,-0.19,9.56,0,0,0
12,0.00,-0.01,0.01,-0.08,-0.15,9.61,0,0,0
13,-0.00,-0.01,0.01,-0.06,-0.17,9.63,0,0,0
14,-0.01,-0.01,0.03,-0.00,-0.14,9.63,0,0,0
15,-0.01,-0.01,0.03,-0.09,-0.17,9.63,0,0,0
16,-0.01,-0.01,0.03,-0.16,-0.21,9.62,0,0,0
17,-0.01,-0.01,0.02,-0.05,-0.24,9.56,0,0,0
18,-0.00,-0.01,0.01,-0.12,-0.11,9.50,0,0,0
19,-0.00,-0.01,0.01,-0.04,-0.11,9.61,0,0,0
20,-0.01,-0.00,0.02,-0.10,-0.16,9.63,0,0,0
21,-0.00,-0.01,0.01,-0.10,-0.15,9.57,0,0,0
22,-0.00,-0.01,0.02,-0.07,-0.15,9.62,0,0,0
23,-0.01,-0.01,0.02,-0.11,-0.13,9.57,0,0,0
24,-0.01,-0.00,0.01,-0.19,-0.18,9.56,0,0,0
25,-0.00,-0.00,0.01,-0.06,-0.17,9.54,0,0,0
26,-0.00,-0.01,0.01,-0.10,-0.14,9.53,0,0,0
27,-0.00,-0.01,0.01,-0.05,-0.18,9.66,0,0,0
28,-0.01,-0.01,0.02,-0.11,-0.19,9.57,0,0,0
29,-0.00,-0.01,0.01,-0.11,-0.16,9.55,0,0,0
30,-0.01,-0.00,0.02,-0.07,-0.17,9.57,0,0,0
31,-0.00,-0.00,0.02,-0.12,-0.20,9.44,0,0,0
32,0.00,-0.01,0.01,-0.11,-0.13,9.61,0,0,0
