Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.14,0.10,0.02,0.57,0.09,9.91,0,0,0
1,0.14,0.09,0.02,0.47,0.17,9.85,0,0,0
2,0.13,0.09,0.02,0.49,0.17,9.95,0,0,0
3,0.12,0.08,0.02,0.44,0.25,9.92,0,0,0
4,0.11,0.08,0.03,0.49,0.28,9.94,0,0,0
5,0.10,0.08,0.03,0.45,0.30,9.85,0,0,0
6,0.09,0.08,0.02,0.43,0.24,9.97,0,0,0
7,0.07,0.07,0.02,0.43,0.19,9.92,0,0,0
8,0.06,0.07,0.04,0.42,0.16,9.96,0,0,0
9,0.07,0.08,0.03,0.46,0.08,9.91,0,0,0
10,0.07,0.08,0.01,0.57,0.03,9.82,0,0,0
11,0.08,0.09,0.01,0.52,-0.03,9.87,0,0,0
12,0.14,0.11,0.05,0.49,-0.02,9.76,0,0,0
13,0.15,0.11,0.05,0.44,0.02,9.86,0,0,0
14,0.16,0.11,0.04,0.44,0.21,9.96,0,0,0
15,0.13,0.10,0.02,0.38,0.27,9.95,0,0,0
16,0.11,0.09,0.02,0.44,0.17,9.87,0,0,0
17,0.09,0.08,0.01,0.45,0.19,9.84,0,0,0
18,0.08,0.07,0.03,0.46,0.19,9.93,0,0,0
19,0.09,0.08,0.06,0.56,0.06,9.81,0,0,0
20,0.11,0.08,0.07,0.61,-0.13,9.80,0,0,0
21,0.14,0.10,0.02,0.48,0.21,9.88,0,0,0
22,0.12,0.11,0.01,0.54,0.18,9.98,0,0,0
23,0.12,0.11,0.02,0.44,0.20,9.88,0,0,0
24,0.11,0.09,0.04,0.43,0.28,9.84,0,0,0
25,0.10,0.09,0.03,0.49,0.12,9.87,0,0,0
26,0.11,0.11,0.05,0.49,0.05,9.88,0,0,0
27,0.12,0.09,0.05,0.36,-0.08,9.69,0,0,0
28,0.14,0.09,0.02,0.44,0.04,9.92,0,0,0
29,0.13,0.08,0.02,0.44,0.21,9.99,0,0,0
30,0.12,0.08,0.01,0.48,0.19,9.99,0,0,0
31,0.11,0.09,0.02,0.47,0.22,9.89,0,0,0
32,0.11,0.09,0.01,0.46,0.19,9.89,0,0,0
33,0.09,0.08,0.02,0.48,0.21,9.91,0,0,0
34,0.09,0.08,0.05,0.49,-0.02,9.65,0,0,0
35,0.12,0.09,0.02,0.50,0.00,9.77,0,0,0
36,0.14,0.09,0.01,0.45,0.02,9.82,0,0,0
37,0.13,0.08,0.03,0.37,0.23,9.97,0,0,0
38,0.11,0.08,0.03,0.46,0.15,9.95,0,0,0
39,0.11,0.09,0.02,0.49,0.12,9.84,0,0,0
40,0.11,0.09,0.03,0.46,0.18,9.86,0,0,0
41,0.10,0.09,0.03,0.47,0.12,9.89,0,0,0
42,0.10,0.09,0.03,0.52,0.08,9.83,0,0,0
43,0.12,0.09,0.03,0.57,0.02,9.87,0,0,0
44,0.13,0.09,0.03,0.49,0.15,9.84,0,0,0
45,0.14,0.09,0.05,0.51,0.19,9.95,0,0,0
46,0.12,0.10,0.04,0.45,0.20,9.93,0,0,0
47,0.11,0.11,0.02,0.46,0.10,9.93,0,0,0
48,0.11,0.10,0.03,0.34,0.10,9.76,0,0,0
49,0.12,0.09,0.03,0.38,0.11,9.84,0,0,0
50,0.12,0.09,0.03,0.42,0.03,9.88,0,0,0
51,0.13,0.09,0.04,0.44,0.13,9.87,0,0,0
52,0.13,0.09,0.01,0.54,0.16,9.91,0,0,0
53,0.12,0.10,0.04,0.56,0.20,9.84,0,0,0
