Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.03,-0.01,-0.21,0.25,-0.19,9.82,0,0,0
1,-0.03,-0.03,-0.23,0.25,-0.20,9.89,0,0,0
2,-0.03,-0.03,-0.24,0.27,-0.16,9.99,0,0,0
3,-0.03,-0.04,-0.24,0.39,-0.20,9.95,0,0,0
4,-0.03,-0.03,-0.24,0.34,-0.19,9.86,0,0,0
5,-0.04,-0.02,-0.23,0.26,-0.24,9.92,0,0,0
6,-0.04,-0.02,-0.21,0.23,-0.34,10.05,0,0,0
7,-0.04,-0.02,-0.19,0.20,-0.34,9.88,0,0,0
8,-0.03,-0.02,-0.21,0.18,-0.36,9.80,0,0,0
9,-0.03,-0.02,-0.22,0.11,-0.37,9.94,0,0,0
10,-0.03,-0.03,-0.23,0.13,-0.39,9.89,0,0,0
11,-0.03,-0.03,-0.25,0.23,-0.30,10.07,0,0,0
12,-0.04,-0.02,-0.26,0.31,-0.27,9.98,0,0,0
13,-0.05,-0.01,-0.27,0.32,-0.30,10.00,0,0,0
14,-0.07,-0.01,-0.25,0.36,-0.33,9.92,0,0,0
15,-0.07,-0.00,-0.21,0.37,-0.36,9.82,0,0,0
16,-0.05,0.00,-0.17,0.35,-0.38,9.73,0,0,0
17,-0.01,-0.02,-0.16,0.37,-0.14,9.85,0,0,0
18,-0.02,-0.03,-0.18,0.46,-0.03,9.90,0,0,0
19,-0.04,-0.04,-0.25,0.37,-0.24,9.86,0,0,0
20,-0.03,-0.03,-0.26,0.28,-0.41,9.73,0,0,0
21,-0.01,-0.03,-0.25,0.26,-0.37,9.72,0,0,0
22,0.00,-0.04,-0.24,0.31,-0.39,9.87,0,0,0
23,-0.00,-0.04,-0.22,0.32,-0.33,10.02,0,0,0
24,-0.01,-0.03,-0.19,0.32,-0.36,10.06,0,0,0
25,-0.03,-0.01,-0.17,0.35,-0.30,10.04,0,0,0
26,-0.03,-0.00,-0.19,0.20,-0.32,9.99,0,0,0
27,-0.04,-0.01,-0.21,0.26,-0.29,9.89,0,0,0
28,-0.04,-0.02,-0.21,0.35,-0.23,9.78,0,0,0
29,-0.04,-0.02,-0.22,0.32,-0.19,9.76,0,0,0
30,-0.03,-0.03,-0.27,0.36,-0.24,9.85,0,0,0
31,-0.03,-0.03,-0.28,0.41,-0.29,9.81,0,0,0
32,-0.03,-0.04,-0.26,0.45,-0.23,9.93,0,0,0
33,-0.03,-0.03,-0.24,0.43,-0.31,9.88,0,0,0
34,-0.02,-0.03,-0.22,0.42,-0.37,9.89,0,0,0
35,-0.01,-0.04,-0.18,0.30,-0.36,9.91,0,0,0
36,0.01,-0.05,-0.23,0.13,-0.32,10.01,0,0,0
37,-0.02,-0.06,-0.23,0.34,-0.29,10.07,0,0,0
38,-0.05,-0.04,-0.24,0.36,-0.46,10.00,0,0,0
39,-0.06,-0.02,-0.23,0.15,-0.44,9.85,0,0,0
40,-0.05,-0.01,-0.24,0.21,-0.46,9.79,0,0,0
41,-0.04,-0.01,-0.26,0.04,-0.38,9.92,0,0,0
42,-0.04,-0.04,-0.24,0.20,-0.17,10.08,0,0,0
43,-0.06,-0.01,-0.23,0.26,-0.29,9.98,0,0,0
44,-0.06,-0.01,-0.20,0.14,-0.23,9.87,0,0,0
45,-0.07,-0.00,-0.19,0.24,-0.24,9.80,0,0,0
46,-0.03,0.02,-0.19,0.23,-0.51,9.67,0,0,0
47,-0.01,-0.00,-0.18,0.23,-0.28,9.93,0,0,0
48,-0.05,-0.01,-0.19,0.51,-0.15,9.90,0,0,0
49,-0.05,-0.00,-0.20,0.40,-0.39,9.88,0,0,0
50,-0.04,-0.01,-0.21,0.26,-0.29,9.84,0,0,0
51,-0.04,-0.01,-0.24,0.24,-0.38,9.83,0,0,0
52,-0.04,-0.02,-0.26,0.29,-0.35,9.83,0,0,0
53,-0.05,-0.02,-0.26,0.42,-0.40,9.97,0,0,0
54,-0.06,-0.00,-0.21,0.34,-0.50,9.98,0,0,0
55,-0.05,0.03,-0.15,0.34,-0.58,9.84,0,0,0
56,-0.03,0.02,-0.13,0.20,-0.47,9.85,0,0,0
57,-0.02,-0.01,-0.14,0.35,-0.16,9.85,0,0,0
58,-0.03,-0.01,-0.17,0.35,-0.09,9.90,0,0,0
59,-0.04,-0.01,-0.19,0.34,-0.11,9.92,0,0,0
60,-0.05,-0.02,-0.18,0.36,-0.16,9.95,0,0,0
61,-0.05,-0.03,-0.20,0.29,-0.14,9.93,0,0,0
62,-0.05,-0.04,-0.23,0.23,-0.21,9.96,0,0,0
63,-0.05,-0.04,-0.23,0.21,-0.14,9.93,0,0,0
64,-0.06,-0.02,-0.23,0.37,-0.30,9.71,0,0,0
65,-0.03,-0.01,-0.21,0.21,-0.36,9.70,0,0,0
66,0.00,-0.02,-0.19,0.26,-0.34,9.79,0,0,0
67,0.01,-0.03,-0.21,0.27,-0.26,9.84,0,0,0
68,-0.01,-0.04,-0.24,0.35,-0.21,9.94,0,0,0
69,-0.01,-0.03,-0.26,0.38,-0.36,9.93,0,0,0
70,-0.02,-0.03,-0.25,0.38,-0.41,9.97,0,0,0
71,-0.02,-0.02,-0.24,0.36,-0.38,9.95,0,0,0
72,-0.04,-0.02,-0.25,0.34,-0.37,9.90,0,0,0
73,-0.04,-0.02,-0.27,0.32,-0.38,9.85,0,0,0
74,-0.03,-0.03,-0.25,0.36,-0.38,9.85,0,0,0
75,-0.01,-0.03,-0.23,0.31,-0.31,9.85,0,0,0
76,-0.01,-0.04,-0.22,0.28,-0.34,10.03,0,0,0
77,-0.01,-0.04,-0.23,0.30,-0.24,10.05,0,0,0
78,-0.04,-0.03,-0.25,0.31,-0.26,10.05,0,0,0
79,-0.06,-0.01,-0.25,0.25,-0.39,9.97,0,0,0
80,-0.06,0.00,-0.26,0.24,-0.33,9.81,0,0,0
81,-0.07,0.00,-0.26,0.18,-0.41,9.79,0,0,0
82,-0.06,-0.00,-0.25,0.30,-0.32,9.80,0,0,0
83,-0.05,0.00,-0.22,0.33,-0.43,9.85,0,0,0
84,-0.03,-0.00,-0.21,0.26,-0.29,9.90,0,0,0
85,-0.03,-0.02,-0.23,0.29,-0.25,9.91,0,0,0
86,-0.04,-0.03,-0.24,0.32,-0.28,9.96,0,0,0
87,-0.04,-0.02,-0.24,0.33,-0.35,9.97,0,0,0
88,-0.04,-0.02,-0.22,0.37,-0.35,9.92,0,0,0
89,-0.05,-0.00,-0.23,0.37,-0.39,10.04,0,0,0
90,-0.08,0.00,-0.27,0.31,-0.41,9.82,0,0,0
91,-0.07,0.01,-0.25,0.40,-0.46,9.83,0,0,0
92,-0.05,0.00,-0.20,0.33,-0.41,9.73,0,0,0
93,-0.04,-0.01,-0.20,0.33,-0.19,9.82,0,0,0
94,-0.04,-0.02,-0.23,0.30,-0.21,9.84,0,0,0
95,-0.05,-0.02,-0.26,0.28,-0.23,9.89,0,0,0
96,-0.04,-0.01,-0.23,0.34,-0.40,9.84,0,0,0
97,-0.03,-0.01,-0.20,0.32,-0.33,9.87,0,0,0
98,-0.02,-0.01,-0.18,0.30,-0.31,9.81,0,0,0
99,-0.01,-0.02,-0.18,0.25,-0.31,9.89,0,0,0
100,-0.03,-0.02,-0.19,0.34,-0.31,9.94,0,0,0
101,-0.03,-0.02,-0.17,0.32,-0.35,9.99,0,0,0
102,-0.03,-0.01,-0.18,0.39,-0.17,9.85,0,0,0
103,-0.04,-0.00,-0.22,0.29,-0.26,9.81,0,0,0
104,-0.04,-0.01,-0.24,0.22,-0.29,9.80,0,0,0
105,-0.03,-0.03,-0.26,0.34,-0.34,9.76,0,0,0
106,-0.02,-0.03,-0.26,0.38,-0.30,9.81,0,0,0
107,-0.02,-0.03,-0.25,0.32,-0.34,9.97,0,0,0
108,-0.03,-0.03,-0.22,0.39,-0.41,10.04,0,0,0
109,-0.04,-0.02,-0.21,0.36,-0.41,9.84,0,0,0
110,-0.05,-0.02,-0.23,0.28,-0.42,9.93,0,0,0
111,-0.06,-0.02,-0.22,0.30,-0.37,9.90,0,0,0
112,-0.05,-0.02,-0.21,0.30,-0.36,9.92,0,0,0
113,-0.05,-0.02,-0.21,0.31,-0.32,9.95,0,0,0
114,-0.06,-0.02,-0.23,0.28,-0.32,9.90,0,0,0
115,-0.07,-0.02,-0.23,0.36,-0.49,9.87,0,0,0
116,-0.07,-0.01,-0.21,0.36,-0.39,9.88,0,0,0
117,-0.06,-0.01,-0.21,0.33,-0.34,9.91,0,0,0
118,-0.07,-0.01,-0.21,0.30,-0.33,9.88,0,0,0
119,-0.07,-0.02,-0.21,0.34,-0.30,9.90,0,0,0
120,-0.08,-0.01,-0.22,0.33,-0.34,10.01,0,0,0
121,-0.10,-0.01,-0.25,0.33,-0.31,10.01,0,0,0
122,-0.09,-0.01,-0.23,0.40,-0.26,9.83,0,0,0
123,-0.09,-0.01,-0.25,0.35,-0.15,9.87,0,0,0
124,-0.09,-0.01,-0.26,0.24,-0.20,9.77,0,0,0
125,-0.08,-0.02,-0.27,0.24,-0.26,9.62,0,0,0
126,-0.06,-0.03,-0.29,0.22,-0.21,9.74,0,0,0
127,-0.05,-0.04,-0.29,0.28,-0.21,9.95,0,0,0
128,-0.05,-0.03,-0.27,0.28,-0.18,9.94,0,0,0
129,-0.06,-0.02,-0.26,0.25,-0.26,9.80,0,0,0
130,-0.06,-0.02,-0.26,0.20,-0.32,9.77,0,0,0
131,-0.05,-0.02,-0.26,0.30,-0.23,9.83,0,0,0
132,-0.05,-0.02,-0.27,0.25,-0.24,9.85,0,0,0
133,-0.05,-0.01,-0.28,0.40,-0.29,9.80,0,0,0
134,-0.04,-0.01,-0.28,0.36,-0.28,9.85,0,0,0
135,-0.04,-0.01,-0.26,0.32,-0.30,9.82,0,0,0
136,-0.04,-0.01,-0.26,0.29,-0.26,9.82,0,0,0
137,-0.03,-0.02,-0.26,0.37,-0.25,9.88,0,0,0
138,-0.03,-0.02,-0.27,0.34,-0.33,9.88,0,0,0
139,-0.02,-0.02,-0.26,0.38,-0.33,9.91,0,0,0
140,-0.02,-0.02,-0.26,0.29,-0.32,9.93,0,0,0
141,-0.02,-0.02,-0.24,0.35,-0.39,9.91,0,0,0
142,-0.03,-0.02,-0.23,0.26,-0.36,9.85,0,0,0
143,-0.03,-0.02,-0.21,0.39,-0.36,9.81,0,0,0
144,-0.02,-0.01,-0.19,0.42,-0.35,9.85,0,0,0
145,-0.01,-0.01,-0.17,0.35,-0.32,9.94,0,0,0
146,-0.02,-0.01,-0.17,0.22,-0.23,9.93,0,0,0
147,-0.03,-0.02,-0.16,0.32,-0.31,9.94,0,0,0
148,-0.02,-0.03,-0.19,0.31,-0.23,9.83,0,0,0
149,-0.02,-0.04,-0.23,0.31,-0.22,9.86,0,0,0
150,-0.01,-0.05,-0.26,0.26,-0.16,9.78,0,0,0
151,-0.02,-0.06,-0.31,0.29,-0.33,9.84,0,0,0
152,-0.01,-0.06,-0.27,0.34,-0.44,9.97,0,0,0
153,-0.01,-0.05,-0.23,0.33,-0.39,10.03,0,0,0
154,-0.02,-0.03,-0.20,0.33,-0.35,10.00,0,0,0
155,-0.03,-0.02,-0.20,0.17,-0.32,10.02,0,0,0
156,-0.04,-0.02,-0.21,0.23,-0.32,9.98,0,0,0
157,-0.06,-0.00,-0.21,0.21,-0.33,9.87,0,0,0
158,-0.06,0.00,-0.21,0.24,-0.33,9.83,0,0,0
159,-0.05,0.00,-0.22,0.28,-0.29,9.80,0,0,0
160,-0.06,-0.01,-0.23,0.26,-0.23,9.84,0,0,0
161,-0.05,-0.01,-0.26,0.43,-0.18,9.92,0,0,0
162,-0.07,-0.01,-0.26,0.28,-0.32,9.91,0,0,0
163,-0.06,-0.01,-0.24,0.43,-0.36,9.87,0,0,0
164,-0.05,-0.01,-0.20,0.32,-0.34,9.84,0,0,0
165,-0.03,-0.01,-0.20,0.31,-0.22,9.76,0,0,0
166,-0.04,-0.04,-0.28,0.12,-0.13,9.87,0,0,0
167,-0.07,-0.04,-0.33,0.30,-0.28,9.98,0,0,0
168,-0.06,-0.03,-0.29,0.33,-0.51,9.83,0,0,0
169,-0.04,-0.01,-0.22,0.34,-0.45,9.86,0,0,0
170,-0.04,-0.00,-0.18,0.28,-0.47,9.87,0,0,0
171,-0.03,-0.01,-0.17,0.36,-0.27,9.93,0,0,0
172,-0.03,-0.01,-0.18,0.32,-0.25,9.97,0,0,0
173,-0.05,-0.01,-0.18,0.36,-0.31,9.91,0,0,0
174,-0.05,-0.01,-0.22,0.30,-0.29,9.96,0,0,0
175,-0.06,-0.01,-0.22,0.29,-0.30,9.91,0,0,0
176,-0.06,-0.01,-0.22,0.43,-0.32,9.87,0,0,0
177,-0.05,-0.01,-0.22,0.25,-0.32,9.75,0,0,0
178,-0.03,-0.02,-0.20,0.31,-0.31,9.90,0,0,0
179,-0.02,-0.03,-0.18,0.38,-0.28,9.92,0,0,0
180,-0.03,-0.01,-0.22,0.24,-0.24,10.06,0,0,0
181,-0.05,-0.03,-0.23,0.27,-0.29,10.00,0,0,0
182,-0.06,-0.02,-0.22,0.26,-0.44,9.98,0,0,0
183,-0.07,-0.01,-0.19,0.39,-0.43,9.91,0,0,0
184,-0.06,0.00,-0.17,0.39,-0.37,9.83,0,0,0
185,-0.05,0.00,-0.17,0.35,-0.29,9.79,0,0,0
