Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.00,-0.01,0.01,0.18,-0.03,9.60,0,0,0
1,-0.00,-0.00,0.00,0.16,-0.05,9.51,0,0,0
2,-0.00,-0.00,0.01,0.20,-0.10,9.59,0,0,0
3,0.00,0.00,0.01,0.11,-0.08,9.61,0,0,0
4,0.00,0.00,0.01,0.19,-0.12,9.68,0,0,0
5,0.01,-0.00,0.01,0.08,-0.12,9.75,0,0,0
6,0.01,0.00,0.00,0.06,-0.09,9.70,0,0,0
7,0.02,-0.00,0.00,0.04,-0.05,9.70,0,0,0
8,0.02,-0.01,0.00,0.00,0.03,9.71,0,0,0
9,0.02,-0.01,0.01,0.11,0.19,9.60,0,0,0
10,0.02,-0.01,0.00,0.11,0.26,9.61,0,0,0
11,0.01,-0.01,0.00,0.10,0.27,9.61,0,0,0
12,0.01,-0.01,0.00,0.13,0.29,9.48,0,0,0
13,-0.00,-0.00,0.00,0.10,0.26,9.62,0,0,0
14,-0.01,-0.01,0.00,0.11,0.09,9.76,0,0,0
15,-0.01,-0.01,0.00,0.11,-0.01,9.72,0,0,0
16,0.00,-0.01,0.01,0.23,-0.07,9.58,0,0,0
17,0.00,0.00,0.01,0.19,-0.05,9.58,0,0,0
18,0.01,0.00,0.01,0.15,-0.09,9.67,0,0,0
19,0.02,-0.00,0.01,0.04,0.03,9.82,0,0,0
20,0.01,-0.01,0.01,0.06,0.21,9.70,0,0,0
21,0.01,-0.01,0.00,0.08,0.30,9.65,0,0,0
22,-0.01,-0.01,0.00,0.10,0.26,9.73,0,0,0
23,-0.01,-0.00,0.00,0.08,0.16,9.68,0,0,0
24,-0.01,-0.01,0.00,0.09,-0.02,9.73,0,0,0
25,-0.00,-0.01,0.01,0.10,-0.08,9.68,0,0,0
26,0.00,-0.01,0.00,0.20,-0.09,9.67,0,0,0
27,0.01,-0.00,0.01,0.26,-0.05,9.61,0,0,0
28,0.01,0.00,0.01,0.16,0.01,9.73,0,0,0
29,0.01,-0.01,0.01,0.13,0.10,9.79,0,0,0
30,0.01,-0.01,0.00,0.11,0.25,9.73,0,0,0
31,0.00,-0.01,0.01,0.07,0.25,9.57,0,0,0
32,-0.00,-0.01,0.01,0.08,0.28,9.68,0,0,0
33,-0.01,-0.01,0.01,0.02,0.12,9.66,0,0,0
34,-0.01,-0.01,0.00,0.08,-0.01,9.72,0,0,0
35,-0.01,-0.01,0.00,0.11,-0.09,9.72,0,0,0
