Packet number,Gyroscope X (deg/s),Gyroscope Y(deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.01,0.01,0.00,-0.05,0.08,9.73,0,0,0
1,0.01,0.01,0.00,-0.07,0.15,9.84,0,0,0
2,0.00,0.01,0.00,-0.05,0.15,9.83,0,0,0
3,0.00,0.01,-0.00,-0.08,0.12,9.99,0,0,0
4,-0.00,0.01,-0.00,0.01,0.13,9.96,0,0,0
5,-0.00,0.01,0.00,-0.00,0.08,9.89,0,0,0
6,-0.00,0.01,0.00,-0.00,0.11,9.89,0,0,0
7,-0.00,0.01,0.00,-0.04,0.09,9.73,0,0,0
8,-0.00,0.01,0.00,-0.09,0.05,9.79,0,0,0
9,-0.01,0.01,0.00,-0.01,0.02,9.87,0,0,0
10,-0.00,0.01,0.00,0.01,-0.00,9.84,0,0,0
11,0.01,0.01,0.00,0.02,0.04,9.87,0,0,0
12,0.01,0.01,0.00,-0.02,0.08,9.90,0,0,0
13,0.01,0.01,0.00,-0.09,0.16,9.82,0,0,0
14,-0.00,0.01,0.01,-0.04,0.14,9.87,0,0,0
15,-0.00,0.01,0.00,-0.06,0.12,9.83,0,0,0
16,0.00,0.01,-0.00,-0.06,0.07,9.83,0,0,0
17,0.01,0.01,0.00,-0.04,0.03,9.81,0,0,0
18,0.01,0.01,0.01,0.02,0.04,9.85,0,0,0
19,-0.00,0.01,0.00,0.02,0.07,9.90,0,0,0
20,-0.00,0.01,0.00,0.04,0.00,9.84,0,0,0
21,-0.00,0.01,-0.00,-0.01,0.05,9.79,0,0,0
22,0.00,0.01,0.00,0.03,0.08,9.85,0,0,0
23,0.01,0.01,0.00,-0.03,0.14,9.81,0,0,0
24,0.01,0.01,0.00,0.00,0.15,9.86,0,0,0
25,0.00,0.01,0.00,-0.04,0.11,9.84,0,0,0
26,0.00,0.01,0.00,-0.13,0.09,9.88,0,0,0
27,0.00,0.01,0.00,-0.07,0.08,9.82,0,0,0
28,0.00,0.00,0.00,0.03,0.09,9.79,0,0,0
29,0.00,0.01,0.00,0.01,0.14,9.87,0,0,0
30,-0.00,0.01,0.00,0.01,0.15,9.79,0,0,0
31,-0.00,0.01,0.00,0.02,0.13,9.88,0,0,0
32,-0.00,0.01,0.00,-0.07,0.10,9.77,0,0,0
33,-0.00,0.01,0.00,-0.13,0.11,9.84,0,0,0
34,-0.00,0.01,-0.00,-0.03,0.10,9.84,0,0,0
35,0.00,0.01,-0.00,0.03,0.07,9.80,0,0,0
36,-0.00,0.01,-0.00,0.02,0.08,9.84,0,0,0
37,-0.00,0.01,0.00,-0.03,0.08,9.86,0,0,0
38,-0.00,0.01,0.00,0.00,0.10,9.83,0,0,0
39,-0.00,0.01,-0.00,-0.04,0.04,9.88,0,0,0
40,-0.00,0.01,-0.00,0.01,0.02,9.78,0,0,0
41,0.00,0.01,0.00,-0.03,0.08,9.84,0,0,0
42,-0.00,0.01,0.00,-0.07,0.14,9.91,0,0,0
43,-0.00,0.01,0.00,-0.02,0.09,9.88,0,0,0
44,-0.00,0.01,0.00,0.00,0.14,9.83,0,0,0
45,-0.00,0.01,-0.00,-0.07,0.16,9.85,0,0,0
46,-0.00,0.01,-0.00,-0.07,0.18,9.96,0,0,0
47,0.00,0.01,-0.00,0.04,0.10,9.90,0,0,0
48,0.00,0.01,-0.00,-0.02,0.14,9.74,0,0,0
49,-0.00,0.00,0.00,0.04,0.07,9.91,0,0,0
50,-0.00,0.01,0.00,0.03,0.05,9.89,0,0,0
51,-0.00,0.01,0.00,-0.02,0.10,9.66,0,0,0
52,-0.00,0.01,0.00,-0.03,0.11,9.81,0,0,0
53,-0.00,0.01,-0.00,-0.04,0.09,9.84,0,0,0
54,0.00,0.01,-0.00,-0.07,0.17,9.90,0,0,0
55,-0.00,0.01,-0.00,0.04,0.09,9.82,0,0,0
56,0.00,0.01,0.00,0.01,0.06,9.74,0,0,0
57,0.00,0.01,0.00,0.02,0.12,9.72,0,0,0
58,-0.00,0.01,0.00,0.03,0.04,9.90,0,0,0
59,0.00,0.01,0.00,0.00,0.07,9.80,0,0,0
60,0.00,0.01,0.00,-0.07,0.11,9.81,0,0,0
61,0.00,0.00,-0.00,-0.00,0.10,9.83,0,0,0
62,0.00,0.01,0.00,0.01,0.12,9.87,0,0,0
63,-0.00,0.01,0.00,-0.02,0.13,9.78,0,0,0
64,-0.00,0.01,-0.00,-0.04,0.10,9.77,0,0,0
65,-0.00,0.01,0.00,-0.04,0.06,9.92,0,0,0
66,0.00,0.01,0.00,-0.05,0.07,9.87,0,0,0
67,0.00,0.01,0.00,-0.01,0.11,9.88,0,0,0
68,0.00,0.01,0.00,-0.03,0.06,9.84,0,0,0
69,0.00,0.01,0.00,0.04,0.11,9.75,0,0,0
70,0.00,0.01,-0.00,0.04,0.06,9.82,0,0,0
71,0.00,0.01,0.00,0.00,0.06,9.83,0,0,0
72,0.00,0.01,-0.00,-0.05,0.11,9.84,0,0,0
73,-0.00,0.01,0.00,-0.01,0.09,9.88,0,0,0
74,-0.00,0.01,-0.00,0.04,0.14,9.88,0,0,0
75,-0.00,0.01,0.00,0.01,0.06,9.79,0,0,0
76,-0.00,0.01,-0.00,-0.04,0.09,9.82,0,0,0
77,-0.00,0.01,-0.00,-0.01,0.06,9.90,0,0,0
78,0.00,0.01,-0.00,-0.07,0.04,9.84,0,0,0
79,0.00,0.01,-0.00,0.03,0.09,9.73,0,0,0
80,0.00,0.01,0.00,-0.05,0.11,9.87,0,0,0
81,0.01,0.01,0.00,0.05,0.12,9.86,0,0,0
82,0.00,0.01,0.00,-0.01,0.11,9.84,0,0,0
83,0.00,0.01,0.00,0.03,0.16,9.83,0,0,0
84,0.00,0.01,0.00,-0.01,0.14,9.83,0,0,0
85,-0.00,0.01,-0.00,-0.04,0.07,9.91,0,0,0
86,-0.00,0.01,-0.00,-0.04,0.08,9.81,0,0,0
87,0.00,0.01,0.00,-0.05,0.13,9.84,0,0,0
88,-0.00,0.01,0.00,0.01,0.13,9.85,0,0,0
89,-0.00,0.01,0.00,-0.02,0.16,9.78,0,0,0
90,-0.00,0.01,-0.00,-0.05,0.11,9.83,0,0,0
91,-0.00,0.01,-0.00,-0.05,0.08,9.74,0,0,0
92,-0.00,0.01,0.00,-0.06,0.11,9.78,0,0,0
93,0.00,0.01,-0.00,-0.02,0.13,9.88,0,0,0
94,0.00,0.01,0.00,0.03,0.12,9.84,0,0,0
95,0.00,0.01,-0.00,-0.00,0.10,9.86,0,0,0
96,0.00,0.01,0.00,-0.04,0.12,9.84,0,0,0
97,-0.00,0.01,0.00,-0.03,0.11,9.79,0,0,0
98,-0.00,0.01,0.00,-0.02,0.09,9.84,0,0,0
99,-0.00,0.01,0.00,-0.03,0.07,9.78,0,0,0
100,-0.00,0.01,-0.00,-0.10,0.08,9.81,0,0,0
101,-0.00,0.01,-0.00,-0.05,0.10,9.80,0,0,0
102,-0.00,0.01,0.00,-0.04,0.13,9.87,0,0,0
103,-0.00,0.01,-0.00,-0.04,0.08,9.82,0,0,0
104,-0.00,0.01,0.00,-0.09,0.11,9.76,0,0,0
105,-0.00,0.01,0.00,-0.04,0.11,9.83,0,0,0
106,-0.00,0.01,0.00,-0.04,0.14,9.90,0,0,0
107,-0.00,0.01,0.00,-0.03,0.12,9.82,0,0,0
108,-0.00,0.01,0.00,-0.02,0.11,9.84,0,0,0
109,-0.00,0.01,-0.00,-0.07,0.12,9.85,0,0,0
110,0.00,0.01,0.00,-0.07,0.15,9.82,0,0,0
111,-0.00,0.01,-0.00,0.00,0.11,9.83,0,0,0
112,-0.00,0.01,0.00,-0.07,0.08,9.85,0,0,0
113,-0.00,0.01,-0.00,-0.06,0.06,9.81,0,0,0
114,-0.00,0.01,0.00,-0.03,0.10,9.85,0,0,0
115,-0.00,0.01,-0.00,-0.03,0.07,9.82,0,0,0
116,-0.00,0.01,0.00,-0.05,0.09,9.82,0,0,0
117,0.00,0.01,-0.00,0.00,0.10,9.79,0,0,0
118,-0.00,0.01,0.00,-0.03,0.09,9.78,0,0,0
119,-0.00,0.01,0.00,-0.01,0.15,9.82,0,0,0
120,-0.00,0.01,0.00,-0.01,0.05,9.90,0,0,0
121,-0.00,0.01,0.00,-0.02,0.13,9.84,0,0,0
122,-0.00,0.01,0.00,-0.01,0.14,9.86,0,0,0
123,-0.00,0.01,0.00,-0.11,0.12,9.89,0,0,0
124,-0.00,0.01,-0.00,-0.03,0.10,9.85,0,0,0
125,-0.00,0.01,0.00,0.03,0.11,9.79,0,0,0
126,-0.00,0.01,-0.00,-0.01,0.12,9.75,0,0,0
127,-0.00,0.01,-0.00,-0.02,0.09,9.88,0,0,0
128,0.00,0.01,0.00,-0.01,0.14,9.84,0,0,0
129,0.00,0.01,0.00,-0.01,0.13,9.78,0,0,0
130,0.00,0.01,0.00,-0.06,0.06,9.83,0,0,0
131,0.00,0.01,-0.00,-0.04,0.06,9.84,0,0,0
132,0.00,0.01,0.00,-0.03,0.08,9.85,0,0,0
133,0.00,0.01,0.00,0.01,0.13,9.80,0,0,0
134,0.00,0.01,0.00,0.04,0.14,9.87,0,0,0
135,-0.00,0.01,0.00,0.02,0.15,9.84,0,0,0
136,-0.00,0.01,-0.00,-0.08,0.11,9.86,0,0,0
137,-0.00,0.01,0.00,-0.07,0.06,9.81,0,0,0
138,0.00,0.01,0.00,-0.02,0.10,9.83,0,0,0
139,0.00,0.01,0.00,-0.05,0.16,9.81,0,0,0
140,0.00,0.01,0.00,-0.03,0.13,9.76,0,0,0
141,0.01,0.01,0.00,-0.08,0.17,9.84,0,0,0
142,0.00,0.01,0.00,-0.05,0.16,9.86,0,0,0
143,0.00,0.01,0.00,0.02,0.22,9.89,0,0,0
144,-0.00,0.01,0.00,0.01,0.15,9.76,0,0,0
145,0.00,0.01,0.00,-0.00,0.10,9.84,0,0,0
146,0.00,0.01,0.00,-0.02,0.09,9.84,0,0,0
147,-0.00,0.01,0.00,-0.05,0.11,9.81,0,0,0
148,0.00,0.01,0.00,-0.01,0.08,9.84,0,0,0
149,0.00,0.01,-0.00,-0.00,0.04,9.82,0,0,0
150,0.01,0.00,0.00,-0.05,0.06,9.86,0,0,0
151,0.01,0.01,0.00,0.02,0.12,9.90,0,0,0
152,0.01,0.01,0.01,-0.02,0.11,9.80,0,0,0
153,0.01,0.01,0.00,0.02,0.11,9.84,0,0,0
154,0.01,0.01,0.00,-0.01,0.09,9.87,0,0,0
155,0.01,0.01,0.00,0.01,0.21,9.81,0,0,0
156,0.00,0.01,0.00,-0.03,0.17,9.87,0,0,0
157,0.00,0.01,-0.00,-0.04,0.14,9.80,0,0,0
158,0.00,0.01,0.00,0.01,0.11,9.83,0,0,0
159,0.00,0.01,0.00,-0.04,0.14,9.83,0,0,0
160,0.00,0.01,0.00,-0.02,0.19,9.84,0,0,0
161,0.00,0.01,0.00,-0.01,0.18,9.82,0,0,0
162,0.00,0.01,0.00,-0.01,0.15,9.81,0,0,0
163,0.00,0.01,-0.00,-0.02,0.15,9.85,0,0,0
164,0.00,0.01,-0.00,-0.02,0.10,9.84,0,0,0
165,0.00,0.01,-0.00,-0.01,0.14,9.86,0,0,0
166,0.00,0.01,0.00,0.01,0.05,9.86,0,0,0
167,0.00,0.01,0.00,0.05,0.10,9.87,0,0,0
168,0.00,0.01,0.00,-0.03,0.11,9.81,0,0,0
169,0.00,0.01,0.01,-0.01,0.21,9.81,0,0,0
170,0.00,0.01,0.00,-0.09,0.15,9.82,0,0,0
171,0.00,0.01,-0.00,-0.06,0.09,9.84,0,0,0
172,0.00,0.01,0.00,-0.03,0.14,9.83,0,0,0
173,0.00,0.01,0.00,-0.04,0.20,9.82,0,0,0
174,0.01,0.01,0.00,0.01,0.16,9.85,0,0,0
175,0.00,0.01,0.00,-0.05,0.20,9.92,0,0,0
176,-0.00,0.01,0.00,0.02,0.24,9.90,0,0,0
177,-0.00,0.01,0.00,-0.03,0.18,9.88,0,0,0
178,-0.00,0.01,-0.00,-0.06,0.17,9.94,0,0,0
179,-0.00,0.01,0.00,-0.04,0.18,9.84,0,0,0
180,-0.00,0.01,0.00,-0.07,0.17,9.86,0,0,0
181,-0.00,0.01,0.00,-0.01,0.17,9.86,0,0,0
182,-0.00,0.01,0.00,-0.02,0.07,9.79,0,0,0
183,0.00,0.01,0.00,-0.03,0.12,9.85,0,0,0
184,0.00,0.01,0.00,-0.03,0.10,9.74,0,0,0
185,0.00,0.01,0.00,0.00,0.12,9.85,0,0,0
186,-0.00,0.01,0.00,0.01,0.06,9.82,0,0,0
187,0.00,0.01,-0.00,-0.02,0.11,9.75,0,0,0
188,0.00,0.01,0.00,0.04,0.12,9.86,0,0,0
189,0.00,0.01,-0.00,-0.00,0.08,9.85,0,0,0
190,0.00,0.01,0.00,-0.03,0.12,9.84,0,0,0
191,0.00,0.01,-0.00,-0.04,0.11,9.80,0,0,0
192,0.00,0.01,0.00,-0.10,0.17,9.84,0,0,0
193,0.00,0.01,0.00,-0.06,0.21,9.89,0,0,0
194,0.01,0.01,0.00,-0.02,0.14,9.87,0,0,0
195,0.00,0.01,0.00,-0.07,0.20,9.88,0,0,0
196,0.00,0.01,-0.00,-0.04,0.17,9.94,0,0,0
197,0.00,0.01,-0.00,-0.03,0.19,9.85,0,0,0
198,-0.00,0.01,0.00,-0.05,0.18,9.78,0,0,0
199,-0.00,0.01,0.00,-0.00,0.14,9.84,0,0,0
200,-0.00,0.01,0.00,-0.07,0.17,9.83,0,0,0
201,0.00,0.00,0.00,-0.09,0.13,9.84,0,0,0
202,0.00,0.01,0.00,-0.03,0.17,9.87,0,0,0
203,0.00,0.01,-0.00,0.00,0.12,9.80,0,0,0
204,0.00,0.01,0.00,0.04,0.17,9.89,0,0,0
205,0.00,0.01,0.00,-0.01,0.11,9.82,0,0,0
206,0.00,0.01,0.01,0.02,0.11,9.87,0,0,0
207,0.01,0.01,0.00,-0.03,0.15,9.82,0,0,0
208,0.00,0.01,0.00,-0.00,0.11,9.84,0,0,0
209,0.00,0.01,0.00,0.01,0.13,9.85,0,0,0
210,0.00,0.01,-0.00,-0.03,0.09,9.84,0,0,0
211,0.00,0.01,0.00,0.00,0.15,9.87,0,0,0
212,0.00,0.01,0.00,0.00,0.12,9.84,0,0,0
213,0.00,0.01,0.00,-0.01,0.14,9.88,0,0,0
214,0.00,0.01,0.00,0.00,0.11,9.87,0,0,0
215,0.00,0.01,0.00,-0.01,0.16,9.86,0,0,0
216,0.00,0.01,-0.00,-0.01,0.14,9.82,0,0,0
217,0.00,0.01,-0.00,-0.03,0.08,9.79,0,0,0
218,0.01,0.01,-0.00,-0.02,0.05,9.92,0,0,0
219,0.01,0.00,0.00,-0.04,0.06,9.88,0,0,0
220,0.02,-0.00,0.00,0.03,0.18,9.94,0,0,0
221,0.01,0.01,0.01,0.04,0.24,9.93,0,0,0
222,0.00,0.01,0.00,-0.01,0.29,9.89,0,0,0
223,-0.00,0.02,-0.00,-0.08,0.29,9.88,0,0,0
224,-0.00,0.02,-0.00,-0.12,0.17,9.90,0,0,0
225,-0.00,0.01,-0.00,-0.11,0.15,9.91,0,0,0
226,0.00,0.01,-0.00,-0.11,0.12,9.90,0,0,0
227,0.00,0.01,-0.00,-0.04,0.13,9.84,0,0,0
228,-0.00,0.01,0.00,0.02,0.13,9.80,0,0,0
229,-0.00,0.01,-0.00,-0.11,0.20,9.73,0,0,0
230,-0.00,0.01,0.00,-0.10,0.25,9.73,0,0,0
231,-0.00,0.00,-0.00,-0.11,0.15,9.90,0,0,0
232,0.01,-0.00,0.00,-0.09,0.19,9.86,0,0,0
233,-0.00,0.00,-0.00,0.09,0.23,9.86,0,0,0
234,-0.01,0.01,-0.00,0.07,0.19,9.86,0,0,0
235,-0.01,0.02,0.00,0.04,0.13,9.87,0,0,0
236,-0.00,0.01,0.00,-0.08,0.15,9.84,0,0,0
237,-0.00,0.01,0.00,-0.12,0.11,9.87,0,0,0
238,-0.00,0.01,-0.00,-0.13,0.13,9.83,0,0,0
239,-0.00,0.01,-0.00,-0.08,0.18,9.84,0,0,0
