WeightedSum (mnorm=sum, wnorm=sum) - Solution:
 ALT./CRIT.    Flight time(s) (min) W.0.5    Avergae speed(m\s) (max) W.0.8    Spin X(rps) (max) W.1.0    Release speed(Rs) (min) W.0.0    Speed after Pitch(Rp) (min) W.0.0    Rank
------------  ----------------------------  --------------------------------  -------------------------  -------------------------------  -----------------------------------  ------
     1                  14.9121                         1.47531                       0.801191                       1.59027                            1.80522                  23
     2                  14.9414                         1.47242                       0.156379                      0.147248                           0.757985                  24
     3                  4.46886                         4.92295                       0.433282                       0.21761                           0.0919499                 14
     4                   4.1978                         5.24084                       0.147782                       1.09555                            1.09555                  13
     5                  1.65201                         13.3171                       0.830387                       2.4677                             2.4677                   11
     6                  8.75824                         2.51192                       0.0972819                     0.412122                            0.24057                  18
     7                   14.315                         1.53685                      -0.0436596                     0.156436                           0.0861339                 22
     8                  9.11722                         2.41302                       -0.201633                      1.14345                            5.50702                  19
     9                  1.65201                         13.3171                       0.830387                       2.4677                             2.4677                   12
     10                  5.0293                         4.37436                       -0.330194                     0.270416                           0.250049                  16
     11                 4.46886                         4.92295                       0.433282                       0.21761                           0.0919499                 15
     12                 7.30037                         3.01355                       -1.49862                       1.1765                            0.482951                  17
     13                  12.011                         1.83166                       0.093244                      0.110389                           0.291427                  20
     14                 17.2711                         1.27381                       0.269414                       1.38563                            8.65247                  25
     15                 13.9524                         1.57679                      -0.0546111                     0.155214                           0.155214                  21
     16                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 2
     17                 0.567766                        38.7484                        4.34676                       1.29222                           0.925295                  1
     18                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 3
     19                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 4
     20                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 5
     21                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 6
     22                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 7
     23                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 8
     24                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 9
     25                 1.05861                          20.782                       0.433282                      0.207425                           0.0919499                 10
