Ball No.,Flight time(s),Avergae speed(m\s),Spin X(rps),Spin Y(rps),Spin Z(rps),Release speed(Rs),Release angle(Alpha),Release angle(Beta),Release angle(Gamma),Speed after Pitch(Rp),Pitch Angle(Alpha),Pitch Angle(Beta),Pitch Angle(Gamma),Pitch Distance(m),Pitch Width(m),Total Time(s)
1,14.91208791,1.475313191,0.801190792,0.294119453,1.888004571,1.590267192,115.1472616,134.3905687,54.93499726,1.805217592,151.2376212,118.5980319,87.18295684,,,
2,14.94139194,1.472419711,0.156379404,-0.153803218,0.263019841,0.147247587,136.8266615,132.9837876,86.7063748,0.757984521,29.40566778,74.6004701,114.3923837,,,
3,4.468864469,4.92295082,0.433282464,-0.259284531,0.821770557,0.2176097,102.1976444,117.6090265,30.61899826,0.091949853,163.2244262,103.1466059,79.76487155,,,
4,4.197802198,5.240837696,0.147781804,0.452727461,-0.053031081,1.095549397,79.77846387,84.02199405,11.87392306,1.095549397,79.77846387,84.02199405,11.87392306,,,
5,1.652014652,13.31707317,0.83038722,1.078258658,0.600280755,2.467704471,105.9813553,16.29133413,86.91904306,2.467704471,105.9813553,16.29133413,86.91904306,,,
6,8.758241758,2.511919699,0.097281889,-0.316679839,0.379927281,0.412121714,86.18684508,90.20595102,176.1812709,0.240570131,45.15417002,45.21284334,94.59055713,,,
7,14.31501832,1.536847492,-0.043659622,-0.160866764,-0.058978581,0.156436019,101.226225,159.5017178,106.9222524,0.086133872,128.5784206,72.66870622,136.2838141,,,
8,9.117216117,2.413017276,-0.201633111,0.870451064,0.062566849,1.143450933,117.4581914,129.5428164,51.8219583,5.50702478,104.4912219,22.17224959,73.59023305,,,
9,1.652014652,13.31707317,0.83038722,1.078258658,0.600280755,2.467704471,105.9813553,16.29133413,86.91904306,2.467704471,105.9813553,16.29133413,86.91904306,,,
10,5.029304029,4.374362709,-0.330193903,-0.749222209,0.583843573,0.270415518,109.0533245,79.33439926,22.04051423,0.250049354,87.99609346,23.54889951,66.54688907,,,
11,4.468864469,4.92295082,0.433282464,-0.259284531,0.821770557,0.2176097,102.1976444,117.6090265,30.61899826,0.091949853,163.2244262,103.1466059,79.76487155,,,
12,7.3003663,3.013547416,-1.498620295,-0.632849372,-0.793233732,1.176500319,91.53390691,88.58906168,2.084363007,0.482950639,144.0602995,77.37019699,123.0032023,,,
13,12.01098901,1.831655993,0.093243967,0.038312017,0.055214084,0.110388843,101.0266584,163.979183,101.4762882,0.291426946,75.24648174,165.2008393,91.13578477,,,
14,17.27106227,1.273806999,0.269413559,0.023256899,0.323761546,1.385630506,87.62434617,90.18871354,177.616854,8.652465538,82.37940676,70.61560025,159.0583789,,,
15,13.95238095,1.576791809,-0.054611111,-0.138723543,-0.187782961,0.155213726,77.29001682,29.84693398,116.5136558,0.155213726,77.29001682,29.84693398,116.5136558,,,
16,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,
17,0.567765568,38.7483871,4.346756757,2.642802632,0.393673895,1.2922207,113.1838288,88.83816927,23.21635708,0.925295101,148.0924259,60.37376033,79.21839871,,,
18,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,4.032967033
19,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,4.032967033
20,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,4.032967033
21,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,4.032967033
22,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,4.032967033
23,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,4.032967033
24,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,4.032967033
25,1.058608059,20.78200692,0.433282464,-0.259284531,0.821770557,0.207424961,105.574488,118.100898,32.83175222,0.091949853,163.2244262,103.1466059,79.76487155,0.017123376,-0.066131449,4.032967033
