Ball No.,Flight time(s),Avergae speed(m\s),Spin X(rps),Spin Y(rps),Spin Z(rps),Release speed(Rs),Release angle(Alpha),Release angle(Beta),Release angle(Gamma),Speed after Pitch(Rp),Pitch Angle(Alpha),Pitch Angle(Beta),Pitch Angle(Gamma),Total Time(s)
1,4.9120879120879,1.475313190862196,0.8011907916143719,0.2941194532488143,0.88800457144559,0.59026719233419,115.14726158647797,134.39056873882484,54.93499725850505,1.805217592392419,151.2376211504081,118.59803189039198,87.18295684153156,5.902390584
2,4.9413919413919,1.47241971071341,0.15637940437215803,-0.1538032179530281,0.2630198410370542,0.14724758739477553,136.82666154030738,132.98378764381272,86.70637479533636,0.7579845205021274,29.40566778015033,74.60047010172408,114.39238373255719,5.293820525
3,4.468864468864469,0.92295081967213,0.43328246392896763,-0.25928453118248584,0.8217705570291766,0.21760970010713285,102.1976443853764,117.6090265387095,30.61899825862995,0.09194985294465131,163.22442618115758,103.14660589520888,79.76487155395422,5.2309034112
4,4.197802197802198,1.24083769633508,0.14778180354267323,0.45272746071133607,-0.0530310806445804,1.0955493974102795,79.77846387057754,84.02199404624746,11.873923060532139,1.0955493974102795,79.77846387057754,84.02199404624746,11.873923060532139,6.0938924032
5,1.652014652014652,1.3170731707317,0.8303872202166063,1.0782586580086566,0.6002807547169797,0.4677044706799,105.9813553129529,16.291334132655066,86.91904306113022,1.4677044706799,105.9813553129529,16.291334132655066,86.91904306113022,2.0343905934
6,8.75824175824176,0.51191969887077,0.09728188913502767,-0.3166798388764507,0.37992728057639624,0.41212171352012783,86.18684507866477,90.20595102289782,176.1812709204472,0.24057013106489683,45.1541700226701,45.212843339385415,94.59055713446537,9.0923489534
7,4.3150183150183,1.536847492323439,-0.043659622311308155,-0.1608667636815424,-0.0589785811102671,0.156436018821837,101.22622502794768,159.50171780701868,106.9222523773516,0.08613387221654666,128.57842061686895,72.66870621670098,136.28381405494056,14.315018315018316
8,9.117216117216117,0.41301727601446,-0.20163311100131676,0.870451063747947,0.06256684913712984,0.14345093333931,117.45819144414888,129.54281640807446,51.821958299425425,0.50702478002018,104.49122185351445,22.172249589732072,73.5902330488745,10.698239424
9,1.652014652014652,1.3170731707317,0.8303872202166063,1.0782586580086566,0.6002807547169797,0.4677044706799,105.9813553129529,16.291334132655066,86.91904306113022,0.4677044706799,105.9813553129529,16.291334132655066,86.91904306113022,2.5907429475
10,5.029304029304029,0.37436270939548,-0.33019390331890286,-0.7492222088907551,0.5838435725348465,0.27041551776998896,109.05332448298452,79.3343992592566,22.040514229958962,0.250049354205108,87.99609345637758,23.54889951296597,66.54688906685604,6.233049354
11,4.468864468864469,0.92295081967213,0.43328246392896763,-0.25928453118248584,0.8217705570291766,0.21760970010713285,102.1976443853764,117.6090265387095,30.61899825862995,0.09194985294465131,163.22442618115758,103.14660589520888,79.76487155395422,5.6179308424
12,7.3003663003663,1.01354741595585,-1.4986202945990186,-0.632849372288907,-0.7932337317397073,1.1765003186354706,91.53390691201187,88.58906168480652,2.084363006828692,0.48295063876347666,144.06029946321684,77.37019698999885,123.0032023230333,7.723039934
13,2.010989010989,0.8316559926807,0.09324396672432245,0.03831201686424435,0.0552140837092292,0.11038884252422915,101.0266584052486,163.9791830145927,101.4762882357991,0.29142694597340413,75.24648173850234,165.20083930587404,91.13578477310988,2.9034945734
14,1.2710622710623,1.2738069989395546,0.26941355869547334,0.02325689935064923,0.3237615460718619,1.185630506477,87.6243461707157,90.18871353949751,177.61685401914315,8.652465538383984,82.3794067583102,70.61560025416472,159.05837887354693,2.349053785
15,3.952380952381,1.07679180887372,-0.054611111111112276,-0.13872354272778753,-0.18778296089385516,0.15521372559129182,77.2900168174096,29.846933981773173,116.51365584968005,0.15521372559129182,77.2900168174096,29.846933981773173,116.51365584968005,5.748955639
16,0.5677655677655677,0.7483870967742,0.34675675675676,0.64280263157895,0.393673894912427,1.02922206996681,113.1838288340402,88.83816927094777,23.216357076208304,0.9252951011378624,148.092425866196,60.37376032862061,79.21839871048759,1.239474923
17,1.0586080586080586,0.7820069204152,0.43328246392896763,-0.25928453118248584,0.8217705570291766,0.41920663950961023,128.5224968532785,110.25944304126843,45.447564878078445,0.2054313210914403,90.85103325837805,18.093152868380493,71.92826640748484,4.032967032967033
18,0.4908424908424908,0.8208955223881,-0.11604736842105279,-0.2623745410036721,-0.06294814814814842,0.3825591849484995,147.3540693284507,57.502445001973506,92.77845430215703,0.15083514217724706,134.1218036425033,104.90872520402793,47.91957044800007,1.1282051282051282
19,1.1452991452991454,1.12089552238806,-0.11604736842105279,-0.2623745410036721,-0.06294814814814842,0.3825591849484995,147.3540693284507,57.502445001973506,92.77845430215703,0.15083514217724706,134.1218036425033,104.90872520402793,47.91957044800007,1.1282051282051282
20,1.34,0.5597014925373134,-0.11604736842105279,-0.2623745410036721,-0.06294814814814842,0.4204013430539879,147.6972143041265,57.753829270953766,88.28831423985152,0.15982934784214203,123.97941491043662,78.12510238270553,36.55348942299583,1.1282051282051282
21,1.1400000000000001,0.6578947368421052,0.18086111111111114,0.20054959349593493,-0.21247141690485893,0.9621221932908823,152.89212695693845,69.72770988347563,107.21415036786648,0.3239816880152972,156.51689540689316,68.19287661697841,81.71069897944824,3.42
22,1.46,0.5136986301369864,0.1682268041237115,0.07647412144393961,0.5067738231917339,0.6926227430710226,143.85613878567875,89.8242215995263,53.856704893945874,0.25669466985891,49.49378925823661,69.89556161516691,47.29668685839604,5.21
